L_Scene,R_Scene,Points_L,Points_R,PtTotal,blockFile,Instructions_Loop.thisRepN,Instructions_Loop.thisTrialN,Instructions_Loop.thisN,Instructions_Loop.thisIndex,Redo_Instructions_Loop.thisRepN,Redo_Instructions_Loop.thisTrialN,Redo_Instructions_Loop.thisN,Redo_Instructions_Loop.thisIndex,Practice_Encoding_Loop.thisRepN,Practice_Encoding_Loop.thisTrialN,Practice_Encoding_Loop.thisN,Practice_Encoding_Loop.thisIndex,Practice_Response_Fail_Loop.thisRepN,Practice_Response_Fail_Loop.thisTrialN,Practice_Response_Fail_Loop.thisN,Practice_Response_Fail_Loop.thisIndex,Practice_FB_Loop.thisRepN,Practice_FB_Loop.thisTrialN,Practice_FB_Loop.thisN,Practice_FB_Loop.thisIndex,Practice_Attention_Loop.thisRepN,Practice_Attention_Loop.thisTrialN,Practice_Attention_Loop.thisN,Practice_Attention_Loop.thisIndex,Practice_EncBrk_Loop.thisRepN,Practice_EncBrk_Loop.thisTrialN,Practice_EncBrk_Loop.thisN,Practice_EncBrk_Loop.thisIndex,Encoding_Loop.thisRepN,Encoding_Loop.thisTrialN,Encoding_Loop.thisN,Encoding_Loop.thisIndex,EncStim_Loop.thisRepN,EncStim_Loop.thisTrialN,EncStim_Loop.thisN,EncStim_Loop.thisIndex,Response_Fail_Loop.thisRepN,Response_Fail_Loop.thisTrialN,Response_Fail_Loop.thisN,Response_Fail_Loop.thisIndex,FB_Loop.thisRepN,FB_Loop.thisTrialN,FB_Loop.thisN,FB_Loop.thisIndex,Attention_Loop.thisRepN,Attention_Loop.thisTrialN,Attention_Loop.thisN,Attention_Loop.thisIndex,EncBrk_Loop.thisRepN,EncBrk_Loop.thisTrialN,EncBrk_Loop.thisN,EncBrk_Loop.thisIndex,Transition_Enc.keys,Transition_Enc.rt,Encoding_Resp.started,Encoding_Resp.keys,Encoding_Resp.rt,R_Point_FB_Stim.started,Attn_resp.keys,Attn_resp.rt,Progress_Tracker.started,EncBrk_Resp.keys,EncBrk_Resp.rt,Encoding_Resp.stopped,participant,Group,date,expName,psychopyVersion,frameRate,
2691.jpg,7640.jpg,0 Points,0 Points,57 Points,PS1_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,,,,,216.979873542,p,0.16133179100000916,217.174878083,,,,,,,02138,A,2024-05-29_23h21.03.857,EPIDM,2022.2.5,None,
1660.jpg,2840.jpg,2 Points,2 Points,59 Points,PS1_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,,,,,221.43795191700002,p,0.20055837499995732,221.67587620800003,,,232.058888125,space,0.8367029999998863,,02138,A,2024-05-29_23h21.03.857,EPIDM,2022.2.5,None,
9480.jpg,9250.jpg,0 Points,0 Points,59 Points,PS1_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,236.18808191700003,p,0.15863158300004443,236.40061958300004,,,,,,,02138,A,2024-05-29_23h21.03.857,EPIDM,2022.2.5,None,
9910.jpg,6940.jpg,2 Points,2 Points,61 Points,PS1_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,240.664952583,p,0.21700320799999417,240.91370458299997,o,2.469085457999938,,,,,02138,A,2024-05-29_23h21.03.857,EPIDM,2022.2.5,None,
4535.jpg,1811.jpg,1 Points,1 Points,62 Points,PS1_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,247.697392708,p,0.8551592910000068,248.5955495,,,,,,,02138,A,2024-05-29_23h21.03.857,EPIDM,2022.2.5,None,
2020.jpg,4800.jpg,5 Points,5 Points,67 Points,PS1_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,252.85799779199994,p,0.18155420800002275,253.080004417,,,,,,,02138,A,2024-05-29_23h21.03.857,EPIDM,2022.2.5,None,
9160.jpg,1200.jpg,0 Points,0 Points,67 Points,PS1_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,,,,,257.34253795800004,p,0.6252972079999495,258.015914625,,,,,,,02138,A,2024-05-29_23h21.03.857,EPIDM,2022.2.5,None,
9520.jpg,1931.jpg,3 Points,3 Points,70 Points,PS1_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,5,5,5,,,,,,,,,,,,,,,,,,,262.27412733299997,p,0.39335899899998594,262.707158333,,,,,,,02138,A,2024-05-29_23h21.03.857,EPIDM,2022.2.5,None,
4669.jpg,2499.jpg,3 Points,3 Points,73 Points,PS1_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,6,6,6,,,,,,,,,,,,,,,,,,,266.965749917,p,0.24734095799993838,267.243495042,,,,,,,02138,A,2024-05-29_23h21.03.857,EPIDM,2022.2.5,None,
6830.jpg,6212.jpg,4 Points,4 Points,77 Points,PS1_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,7,7,7,,,,,,,,,,,,,,,,,,,271.511431125,p,0.4880156249999459,272.039017292,,,,,,,02138,A,2024-05-29_23h21.03.857,EPIDM,2022.2.5,None,
4687.jpg,4233.jpg,5 Points,5 Points,82 Points,PS1_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,8,8,8,,,,,,,,,,,,,,,,,,,276.31169295800004,p,0.05516995800002178,276.40676375000004,,,,,,,02138,A,2024-05-29_23h21.03.857,EPIDM,2022.2.5,None,
1740.jpg,7480.jpg,0 Points,0 Points,82 Points,PS1_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,9,9,9,,,,,,,,,,,,,,,,,,,280.6788655,p,0.40055633299999727,281.121715167,,,,,,,02138,A,2024-05-29_23h21.03.857,EPIDM,2022.2.5,None,
